location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-53,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-53,-65,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-64,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-62,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-64,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-64,-68,0,0,0,0,0,0
D40,1233,334,-67,-52,-64,-68,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-65,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-51,-62,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-62,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-62,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-52,-63,-67,0,0,0,0,0,0
D40,1233,334,-67,-52,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-67,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-67,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
D40,1233,334,-66,-51,-63,-68,0,0,0,0,0,0
