location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-37,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-57,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-57,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-64,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-37,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-57,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-69,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-35,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-66,0,0,0,0,0,0
E39,1205,303,-55,-36,-71,-65,0,0,0,0,0,0
E39,1205,303,-56,-36,-70,-65,0,0,0,0,0,0
